zone,frac area,gamma,land,ocean,ice
1,0.067,0.1076,0,0.3,0.7
2,0.183,0.2277,0.1,0.9,0
3,0.25,0.3045,0.2,0.8,0
4,0.25,0.3045,0.4,0.6,0
5,0.183,0.2277,0.35,0.6,0.05
6,0.067,0.1076,0.2,0.6,0.2
