zone,frac area,gamma,land,ocean,ice
1,0.067,0.1076,0,0.3,0.7
2,0.183,0.2277,0.1,0.9,0
3,0.25,0.3045,0.2,0.8,0
4,0.25,0.3045,0.4,0.6,0
5,0.223,,0.33,0.59,0.08
6,0.017,,0.05,0.15,0.8
